ID,School,Unitid,Year,Subject,Subject Code,Degree Level,Major Number,Total
HC2011.52.0201,Holy Cross,150774,2011,"Business Administration and Management, General",52.0201,Bachelor's degree,1,21
HC2011.52.0201,Holy Cross,150774,2011,"Business Administration and Management, General",52.0201,Bachelor's degree,2,0
HC2012.52.0201,Holy Cross,150774,2012,"Business Administration and Management, General",52.0201,Bachelor's degree,1,28
HC2012.52.0201,Holy Cross,150774,2012,"Business Administration and Management, General",52.0201,Bachelor's degree,2,0
HC2013.52.0201,Holy Cross,150774,2013,"Business Administration and Management, General",52.0201,Bachelor's degree,1,27
HC2013.52.0201,Holy Cross,150774,2013,"Business Administration and Management, General",52.0201,Bachelor's degree,2,0
HC2014.52.0201,Holy Cross,150774,2014,"Business Administration and Management, General",52.0201,Bachelor's degree,1,39
HC2014.52.0201,Holy Cross,150774,2014,"Business Administration and Management, General",52.0201,Bachelor's degree,2,3
HC2015.52.0101,Holy Cross,150774,2015,"Business/Commerce, General",52.0101,Bachelor's degree,1,33
HC2015.52.0101,Holy Cross,150774,2015,"Business/Commerce, General",52.0101,Bachelor's degree,2,5
HC2016.52.0101,Holy Cross,150774,2016,"Business/Commerce, General",52.0101,Bachelor's degree,1,32
HC2016.52.0101,Holy Cross,150774,2016,"Business/Commerce, General",52.0101,Bachelor's degree,2,1
HC2017.52.0101,Holy Cross,150774,2017,"Business/Commerce, General",52.0101,Bachelor's degree,1,43
HC2017.52.0101,Holy Cross,150774,2017,"Business/Commerce, General",52.0101,Bachelor's degree,2,0
HC2018.52.0101,Holy Cross,150774,2018,"Business/Commerce, General",52.0101,Bachelor's degree,1,37
HC2018.52.0101,Holy Cross,150774,2018,"Business/Commerce, General",52.0101,Bachelor's degree,2,1
HC2019.52.0101,Holy Cross,150774,2019,"Business/Commerce, General",52.0101,Bachelor's degree,2,2
HC2019.52.0101,Holy Cross,150774,2019,"Business/Commerce, General",52.0101,Bachelor's degree,1,41
