ID,School,UnitId,Year,Subject,Subject Code,Degree Level,Major Number,Total
ND2011.52.0101,Notre Dame,152080,2011,"Business/Commerce, General",52.0101,Bachelor's degree,1,52
ND2011.52.0201,Notre Dame,152080,2011,"Business Administration and Management, General",52.0201,Master's degree,1,314
ND2011.52.0299,Notre Dame,152080,2011,"Business Administration, Management and Operations, Other",52.0299,Bachelor's degree,1,0
ND2011.52.0301,Notre Dame,152080,2011,Accounting,52.0301,Bachelor's degree,1,147
ND2011.52.0301,Notre Dame,152080,2011,Accounting,52.0301,Master's degree,1,160
ND2011.52.0801,Notre Dame,152080,2011,"Finance, General",52.0801,Bachelor's degree,1,217
ND2011.52.1201,Notre Dame,152080,2011,"Management Information Systems, General",52.1201,Bachelor's degree,1,29
ND2011.52.1401,Notre Dame,152080,2011,"Marketing/Marketing Management, General",52.1401,Bachelor's degree,1,105
ND2012.52.0101,Notre Dame,152080,2012,"Business/Commerce, General",52.0101,Bachelor's degree,1,36
ND2012.52.0299,Notre Dame,152080,2012,"Business Administration, Management and Operations, Other",52.0299,Bachelor's degree,1,0
ND2012.52.0301,Notre Dame,152080,2012,Accounting,52.0301,Master's degree,1,116
ND2012.52.1201,Notre Dame,152080,2012,"Management Information Systems, General",52.1201,Bachelor's degree,1,57
ND2012.52.1401,Notre Dame,152080,2012,"Marketing/Marketing Management, General",52.1401,Bachelor's degree,1,97
ND2012.52.0201,Notre Dame,152080,2012,"Business Administration and Management, General",52.0201,Master's degree,1,315
ND2012.52.0301,Notre Dame,152080,2012,Accounting,52.0301,Bachelor's degree,1,143
ND2012.52.0801,Notre Dame,152080,2012,"Finance, General",52.0801,Bachelor's degree,1,235
ND2013.52.0101,Notre Dame,152080,2013,"Business/Commerce, General",52.0101,Bachelor's degree,1,59
ND2013.52.0206,Notre Dame,152080,2013,Non-Profit/Public/Organizational Management,52.0206,Master's degree,1,14
ND2013.52.0299,Notre Dame,152080,2013,"Business Administration, Management and Operations, Other",52.0299,Bachelor's degree,1,0
ND2013.52.0301,Notre Dame,152080,2013,Accounting,52.0301,Bachelor's degree,1,168
ND2013.52.0301,Notre Dame,152080,2013,Accounting,52.0301,Master's degree,1,110
ND2013.52.0801,Notre Dame,152080,2013,"Finance, General",52.0801,Bachelor's degree,1,248
ND2013.52.1201,Notre Dame,152080,2013,"Management Information Systems, General",52.1201,Bachelor's degree,1,58
ND2013.52.1401,Notre Dame,152080,2013,"Marketing/Marketing Management, General",52.1401,Bachelor's degree,1,88
ND2013.52.0201,Notre Dame,152080,2013,"Business Administration and Management, General",52.0201,Master's degree,1,304
ND2014.52.0101,Notre Dame,152080,2014,"Business/Commerce, General",52.0101,Bachelor's degree,1,59
ND2014.52.0101,Notre Dame,152080,2014,"Business/Commerce, General",52.0101,Master's degree,1,28
ND2014.52.0201,Notre Dame,152080,2014,"Business Administration and Management, General",52.0201,Master's degree,1,301
ND2014.52.0206,Notre Dame,152080,2014,Non-Profit/Public/Organizational Management,52.0206,Master's degree,1,25
ND2014.52.0299,Notre Dame,152080,2014,"Business Administration, Management and Operations, Other",52.0299,Bachelor's degree,1,0
ND2014.52.0301,Notre Dame,152080,2014,Accounting,52.0301,Bachelor's degree,1,150
ND2014.52.0301,Notre Dame,152080,2014,Accounting,52.0301,Master's degree,1,100
ND2014.52.1201,Notre Dame,152080,2014,"Management Information Systems, General",52.1201,Bachelor's degree,1,68
ND2014.52.1401,Notre Dame,152080,2014,"Marketing/Marketing Management, General",52.1401,Bachelor's degree,1,107
ND2014.52.0801,Notre Dame,152080,2014,"Finance, General",52.0801,Bachelor's degree,1,241
ND2015.52.0101,Notre Dame,152080,2015,"Business/Commerce, General",52.0101,Bachelor's degree,1,58
ND2015.52.0101,Notre Dame,152080,2015,"Business/Commerce, General",52.0101,Master's degree,1,46
ND2015.52.0201,Notre Dame,152080,2015,"Business Administration and Management, General",52.0201,Master's degree,1,301
