scene,section,tag,all_text
1,1,Action,OVER BLACK...
1,2,Action,"WE HEAR the sounds of nighttime in a COLOMBIAN CLOUD FOREST: birds, insects, nature. Then the voice of an older woman, warm, nurturing and intimate..."
1,3,ABUELA ALMA,Abre los ojos... open your eyes....
1,4,Action,"FADE UP ON: The closed eyes of five-year-old MIRABEL MADRIGAL; light of a CANDLE reflects in her over-sized, green- rimmed glasses. Mirabel opens one eye, then the other to find a wondrous, MAGICAL CANDLE rippling with firelight magic."
1,5,YOUNG MIRABEL,This is where our magic comes from?
1,6,ABUELA ALMA,"Mm-hmm, this candle holds the miracle given to our family."
1,7,YOUNG MIRABEL,How did we get a miracle?
1,8,Action,"Alma pulls Mirabel onto her lap and the light of the candle grows. As Alma speaks, we dissolve to her as a young woman, along with her husband, PEDRO, and their THREE BABIES. The CANDLE burns brightly nearby."
1,9,ABUELA ALMA,"Long ago, when my three babies had just been born, your Abuelo Pedro and I were forced to flee our home."
1,10,Action,Strong light grows outside Young Alma and Pedro’s window. Alma and Pedro look concerned.
1,11,Action,Match to: Young Alma and Pedro (holding the candle) leading a frightened group of displaced people. They struggle across a beautiful RIVER.
1,12,ABUELA ALMA,"And though many joined us, hoping to find a new home... we could not escape the dangers... and your Abuelo was lost."
1,13,Action,"The candle flickers and Pedro looks back from where they came, troubled. Pedro hands Abuela the candle as he throws his arms out protectively as... marauders approach. As they advance, Pedro vanishes into the wind in front of Abuela, who collapses... and we push in on the CANDLE."
2,1,ABUELA ALMA,But in our darkest moment... we were given... a miracle.
2,2,Action,"As Abuela cries, we burst out of our impressionistic history into the SPLENDOR of a MIRACLE, rooted deeply in MAGICAL REALISM. The CANDLE blossoms with a magical intensity, banishing the darkness."
2,3,ABUELA ALMA,The candle became a magical flame that could never go out and it blessed us with a refuge in which to live. A place of wonder...
2,4,YOUNG MIRABEL,An Encanto...
2,5,ABUELA ALMA,An Encanto.
2,6,Action,"Around Abuela and her babies (and displaced people), MOUNTAINS rise, forming a protected VALLEY. The CANDLE shines brightly, enveloping ABUELA ALMA, its magic glows from the earth and a HOUSE grows around her."
2,7,ABUELA ALMA,"The miracle grew... and our house, our casita itself, came alive to shelter us."
2,8,Action,"The House COMES TO LIFE, to the delight of the babies."
2,9,ABUELA ALMA,"When my children came of age, the miracle blessed each with a magic gift to help us. And when their children came of age..."
2,10,Action,"The triplets turn five and as they STEP TOWARD GLOWING DOORS, they too are filled with MAGIC. As they “grow-up,” a new generation is born, and as these children are filled with magic, the series of doors becomes a mural-like family tree."
2,11,YOUNG MIRABEL,They got magic too.
2,12,ABUELA ALMA,That’s right... and together our family’s gifts have made our new home... a paradise.
2,13,Action,"The wilderness transforms into paradise, the House and MAGIC CANDLE shining like a beacon. We push in and match to:"
3,1,Action,INT. CASA MADRIGAL - NURSERY - EVENING
3,2,Action,"The MAGIC CANDLE, which we pull back from to find Young Mirabel staring in awe. Abuela smiles at her, full of love."
3,3,ABUELA ALMA,"Tonight, this candle will give you your gift, mi vida. Strengthen our community, strengthen our home. Make your family proud."
3,4,YOUNG MIRABEL,"(solemn, nodding) Make my family proud."
3,5,Action,"Mirabel nods, solemn but bursting with pride. Abuela beams. As fireworks explode, the magical House knocks a CLOCK toward them, nudging that it’s time to start the ceremony."
3,6,ABUELA ALMA,"Yes, yes, Casita, we’re going."
3,7,Action,"The House brings Mirabel her shoes. She giggles, then helps Abuela to the door, holding her hand, excited and nervous."
3,8,YOUNG MIRABEL,What do you think my gift will be?
3,9,Action,"Abuela Alma bends down to Mirabel, full of love and pride."
3,10,ABUELA ALMA,"You are a wonder, Mirabel Madrigal. Whatever gift awaits, will be just as special as you."
3,11,Action,"On Mirabel’s face, we match to her standing in the courtyard as the curtain opens on her GIFT CEREMONY. As Mirabel stares at her undulating door, full of wonder, its glittering magic blooms brighter and brighter, and we transition to our title:"
3,12,Action,ENCANTO
3,13,Action,INT. MIRABEL’S BEDROOM - DAWN
3,14,Action,A PERCUSSION INTRO IS ALREADY REVVING UP...
3,15,Action,"DISSOLVE FROM BRIGHT LIGHT TO: MIRABEL’S GREEN GLASSES. The SHELF the glasses sit on lifts to one side (by the House) and the glasses slide off into... the waiting HAND of MIRABEL, who passes, already “on a mission.”"
4,1,Action,"Mirabel is now 15, though we don’t yet see her face. As she hurries around her room in tight shots, the HOUSE tries to keep up. We see some of Mirabel’s personalized decorations: self-painted wallpaper, family picture, books, etc."
4,2,Action,"Mirabel grabs a “self-decorated” dress off a sewing table. Mirabel jumps and as she lands, the House scrambles to put SHOES under her feet. Barely made it! Mirabel puts her hand on the DOORKNOB and, we see her face for the first time as she takes a breath like she’s heading into battle."
4,3,MIRABEL,Make your family proud.
4,4,Action,INT. CASA MADRIGAL - VARIOUS INTERIORS
4,5,Action,The House conveys Mirabel downstairs and she passes a portrait of ABUELO PEDRO.
4,6,MIRABEL,"Morning, Abuelo."
4,7,Action,EXT. TOWN OF ENCANTO - SAME TIME
4,8,Action,"THREE KIDS excitedly run up a path toward la Casa Madrigal. It’s like Christmas morning, anticipation building."
4,9,Action,INT. CASA MADRIGAL - VARIOUS
4,10,Action,"As Mirabel moves through the corridors, shutters open around her. She reaches the dining room and begins setting the table. Each member of the family has their own plate, highlighting their gift. As Mirabel sets the table, kids holler at her from outside."
4,11,PUMPED JUANCHO,Hey! When’s the magic gift happen?!
4,12,MIRABEL,My cousin’s ceremony is tonight.
4,13,Action,"She goes back to setting the table, but:"
4,14,LITTLE ALEJANDRA,What’s his gift?!
4,15,MIRABEL,We’re gonna find out.
4,16,PUMPED JUANCHO,What’s your gift?!
5,1,MIRABEL,"(working, playful teasing) Who’s asking?"
5,2,KIDS,(BEAT) Us!
5,3,MIRABEL,"Well, “us,” I can’t just talk about myself... I’m only part of the amazing Madrigals."
5,4,KIDS,Who’s all the amazing Madrigals?
5,5,MIRABEL,"Aw, you’re not gonna leave me alone, are you? Casita, help me out."
5,6,Action,AND THE MUSIC KICKS IN!
5,7,MIRABEL,Drawers. (House moves its drawers) Floors. (House moves its floors) Doors -- (the magic doors glow) Let’s goooo! (singing) THIS IS OUR HOME. WE’VE GOT EVERY GENERATION SO FULL OF MUSIC A RHYTHM OF ITS OWN DESIGN.
5,8,Action,MIRABEL opens the family’s doors to help them wake up.
5,9,MIRABEL,"THIS IS MY FAMILY, A PERFECT CONSTELLATION. SO MANY STARS, AND EVERYBODY GETS TO SHINE."
5,10,Action,"The family hustles to get ready for the day with help from the house: it makes Luisa treadmill with its tiles, pours coffee for the family, etc. Abuela emerges from her room."
5,11,MIRABEL,"WHOA, BUT LET’S BE CLEAR, ABUELA RUNS THIS SHOW. WHOA, SHE LED US HERE SO MANY YEARS AGO, (MORE)"
6,1,MIRABEL,"WHOA, AND EVERY YEAR OUR FAMILY BLESSINGS GROW! THERE’S JUST A LOT YOU’VE SIMPLY GOT TO KNOW, SO!"
6,2,MIRABEL,"WELCOME TO THE FAMILY MADRIGAL. THE HOME OF THE FAMILY MADRIGAL. WE’RE ON OUR WAY! WHERE ALL THE PEOPLE ARE FANTASTICAL AND MAGICAL, I’M PART OF THE FAMILY MADRIGAL!"
6,3,Action,"Mirabel leads her FAMILY OUT OF THE HOUSE, she’s their biggest cheerleader. She waves goodbye to the House and the House waves back with its shutters and tiles. The town kids watch the Madrigals emerge, super psyched to see these amazing people get to work. The kids crowd around Mirabel."
6,4,KIDS,"Oh my gosh, it’s them!/ What are the gifts?! / I can’t remember all the gifts/ Who is who?"
6,5,MIRABEL,"Alright, alright, relax."
6,6,LITTLE ALEJANDRA,It is physically impossible to relax!
6,7,INNOCENT CECILIA,Tell us everything! What are your powers?
6,8,PUMPED JUANCHO,JUST TELL US WHAT EVERYONE CAN DO!
6,9,MIRABEL,And that’s why coffee’s for grown- ups.
6,10,Action,Mirabel takes Juancho’s coffee cup and steps up to a MURAL of the Madrigal family.
6,11,MIRABEL,"MY TIA PEPA. HER MOOD AFFECTS THE WEATHER. WHEN SHE’S UNHAPPY, WELL, THE TEMPERATURE GETS WEIRD."
6,12,Action,"We find emotional PEPA, when she’s happy the sun comes out, she trips off camera, and stomps back, pissed. The weather above the whole Encanto gets worse and rains in the BG."
7,1,MIRABEL,MY TIO BRUNO --
7,2,CROWD,-- WE DON’T TALK ABOUT BRUNO --
7,3,MIRABEL,"THEY SAY HE SAW THE FUTURE, ONE DAY HE DISAPPEARED."
7,4,Action,We see CREEPY BRUNO’S DOOR DEVELOP COBWEBS as its MAGIC FADES. We continue through the town as JULIETA heals sick people with her homemade buñuelos. Reveal a HUGE LINE OF PEOPLE with comedic maladies waiting to be healed by her.
